snapshot_month,model_id,occupation_code,occupation_label,realized_occupation_exposure_100,weighted_dae_100,weighted_se_100,weighted_oc_100,weighted_ic_100,benchmark_coverage_ratio,included_task_count
2026-04,cores_agent_v1_1,15-1299.09,Project Management Specialists / Information Project Managers,28.7296,68.0900,20.0300,72.3800,28.3700,0.1871,21
2026-04,cores_agent_v1_2,15-1299.09,Project Management Specialists / Information Project Managers,28.9768,68.0900,20.0300,72.3800,28.3700,0.1871,21
2026-04,crux_claude_opus_4_6,15-1299.09,Project Management Specialists / Information Project Managers,20.4766,68.0900,20.0300,72.3800,28.3700,0.0543,21
2026-04,crux_glm_4_7,15-1299.09,Project Management Specialists / Information Project Managers,10.1924,68.0900,20.0300,72.3800,28.3700,0.0543,21
2026-04,crux_gpt_5_1_codex,15-1299.09,Project Management Specialists / Information Project Managers,17.6913,68.0900,20.0300,72.3800,28.3700,0.0543,21
2026-04,crux_gpt_5_1_codex_mini,15-1299.09,Project Management Specialists / Information Project Managers,13.1919,68.0900,20.0300,72.3800,28.3700,0.0543,21
2026-04,crux_minimax_m2_1,15-1299.09,Project Management Specialists / Information Project Managers,11.2024,68.0900,20.0300,72.3800,28.3700,0.0543,21
2026-04,dakou_agent_qwen_3_coder_480b,15-1299.09,Project Management Specialists / Information Project Managers,8.3253,68.0900,20.0300,72.3800,28.3700,0.0543,21
2026-04,deedee,15-1299.09,Project Management Specialists / Information Project Managers,0.0000,68.0900,20.0300,72.3800,28.3700,0.1871,21
2026-04,deep_agents_gpt_5_2_codex,15-1299.09,Project Management Specialists / Information Project Managers,20.3541,68.0900,20.0300,72.3800,28.3700,0.0543,21
2026-04,desearch,15-1299.09,Project Management Specialists / Information Project Managers,23.0817,68.0900,20.0300,72.3800,28.3700,0.1871,21
2026-04,desearch_v0_2,15-1299.09,Project Management Specialists / Information Project Managers,26.2744,68.0900,20.0300,72.3800,28.3700,0.1871,21
2026-04,desearch_v0_4,15-1299.09,Project Management Specialists / Information Project Managers,29.4670,68.0900,20.0300,72.3800,28.3700,0.1871,21
2026-04,deserach_v0_3,15-1299.09,Project Management Specialists / Information Project Managers,28.2394,68.0900,20.0300,72.3800,28.3700,0.1871,21
2026-04,dr_huichi,15-1299.09,Project Management Specialists / Information Project Managers,8.5934,68.0900,20.0300,72.3800,28.3700,0.1871,21
2026-04,droid_claude_opus_4_5,15-1299.09,Project Management Specialists / Information Project Managers,19.3135,68.0900,20.0300,72.3800,28.3700,0.0543,21
2026-04,droid_claude_opus_4_6,15-1299.09,Project Management Specialists / Information Project Managers,21.3948,68.0900,20.0300,72.3800,28.3700,0.0543,21
2026-04,droid_gemini_3_pro,15-1299.09,Project Management Specialists / Information Project Managers,18.7013,68.0900,20.0300,72.3800,28.3700,0.0543,21
2026-04,droid_gpt_5_2,15-1299.09,Project Management Specialists / Information Project Managers,19.8644,68.0900,20.0300,72.3800,28.3700,0.0543,21
2026-04,droid_gpt_5_3_codex,15-1299.09,Project Management Specialists / Information Project Managers,23.6598,68.0900,20.0300,72.3800,28.3700,0.0543,21
2026-04,drp_val_v_1_0,15-1299.09,Project Management Specialists / Information Project Managers,18.6615,68.0900,20.0300,72.3800,28.3700,0.1871,21
2026-04,dynasaur_l1,15-1299.09,Project Management Specialists / Information Project Managers,4.1731,68.0900,20.0300,72.3800,28.3700,0.1871,21
2026-04,fhswf_gaia_smolagents,15-1299.09,Project Management Specialists / Information Project Managers,6.8755,68.0900,20.0300,72.3800,28.3700,0.1871,21
2026-04,fhswf_smolagents,15-1299.09,Project Management Specialists / Information Project Managers,6.8755,68.0900,20.0300,72.3800,28.3700,0.1871,21
2026-04,fhswfgaia,15-1299.09,Project Management Specialists / Information Project Managers,1.2276,68.0900,20.0300,72.3800,28.3700,0.1871,21
2026-04,forgecode_claude_opus_4_6,15-1299.09,Project Management Specialists / Information Project Managers,24.4250,68.0900,20.0300,72.3800,28.3700,0.0543,21
2026-04,forgecode_gemini_3_1_pro,15-1299.09,Project Management Specialists / Information Project Managers,23.9964,68.0900,20.0300,72.3800,28.3700,0.0543,21
